Year,Crop Type,Yield (tons per hectare),Soil Quality Score,Rainfall (mm/year),Temperature (Â°C)
2022,Soybean,1.11,6.16,658.9,16.9
2021,Soybean,2.17,9.89,732.2,29.2
2022,Rice,7.09,8.4,1917.1,15.7
2022,Soybean,1.65,3.19,1604.8,27.3
2021,Corn,3.47,3.46,1824.5,15.8
2020,Wheat,1.42,6.25,803.9,25.6
2024,Soybean,2.51,9.36,1381.4,28.7
2023,Wheat,4.27,6.77,1551.7,15.5
2021,Rice,4.03,6.48,1520.2,11.5
2022,Wheat,1.54,3.74,1112.2,13.3
2021,Rice,1.52,7.6,523.1,25.1
2024,Corn,5.55,8.75,1374.4,31.2
2022,Rice,2.0,5.66,879.7,11.1
2023,Rice,3.13,8.43,1175.4,28.4
2023,Barley,5.59,9.75,1936.4,18.5
2023,Soybean,1.0,4.43,1098.6,22.0
2020,Soybean,3.1,6.66,1759.7,33.2
2022,Corn,2.31,5.01,782.8,18.3
2022,Corn,5.11,8.55,1508.7,21.6
2020,Soybean,4.39,7.04,1965.5,10.3
2022,Barley,1.79,7.44,652.8,12.0
2020,Soybean,1.1,8.59,512.5,16.5
2021,Barley,2.11,5.77,1150.4,10.7
2024,Corn,3.25,9.41,638.9,25.8
2023,Wheat,2.97,6.73,1622.6,20.7
2020,Corn,3.74,4.11,1871.8,23.7
2020,Corn,3.93,7.87,1151.0,14.4
2020,Rice,3.61,8.55,888.1,17.4
2021,Rice,1.93,5.22,1151.6,26.6
2020,Rice,7.18,9.0,1585.2,34.1
2024,Rice,2.39,9.34,513.6,11.3
2024,Barley,1.87,4.94,1384.2,32.3
2023,Soybean,3.9,9.88,1419.9,24.4
2021,Wheat,2.11,3.98,1456.5,24.1
2024,Corn,1.5,4.41,863.0,22.5
2022,Barley,2.04,4.29,1571.1,11.7
2022,Wheat,2.42,9.26,637.1,12.2
2022,Barley,2.16,7.58,798.9,25.0
2020,Barley,2.35,4.06,1816.2,18.5
2020,Corn,4.62,6.08,1608.1,32.9
2022,Soybean,0.89,7.31,520.6,20.2
2023,Rice,1.34,3.58,872.6,13.6
2023,Soybean,2.02,9.18,821.6,27.9
2020,Corn,4.59,8.63,906.2,17.3
2022,Corn,3.76,6.54,871.3,23.1
2023,Corn,2.42,9.77,593.8,27.4
2020,Wheat,2.86,5.92,1188.4,32.5
2022,Soybean,4.2,9.89,1599.1,29.8
2021,Soybean,2.12,7.68,1410.1,26.9
2022,Barley,3.72,7.44,1509.3,27.0
2022,Barley,0.94,4.16,621.7,33.6
2024,Barley,6.93,9.17,1927.2,17.4
2024,Corn,4.71,5.99,1757.7,10.0
2021,Soybean,1.75,4.14,1707.6,16.8
2021,Corn,2.45,3.09,1734.5,15.4
2022,Wheat,4.9,6.92,1899.1,26.5
2023,Barley,3.46,6.69,1316.4,25.8
2021,Corn,3.75,8.04,800.4,24.8
2022,Corn,6.41,9.23,1425.2,10.4
2020,Wheat,1.58,3.56,1614.3,28.2
2024,Rice,4.1,8.12,1606.9,18.1
2023,Soybean,1.19,4.31,1282.2,26.6
2022,Rice,2.44,9.01,602.7,23.9
2020,Barley,3.46,8.73,1056.7,18.6
2024,Corn,5.09,6.79,1881.1,13.4
2020,Wheat,4.05,7.97,1376.7,12.4
2022,Wheat,2.14,5.2,1307.5,30.8
2021,Soybean,1.45,6.3,903.3,33.0
2024,Rice,3.7,8.75,1052.7,26.2
2020,Soybean,3.31,6.21,1843.0,12.6
2021,Corn,4.01,5.5,1499.7,20.1
2023,Soybean,2.78,6.46,1681.1,28.2
2022,Wheat,2.89,8.8,1181.5,29.5
2022,Wheat,2.25,5.35,1445.4,13.0
2024,Barley,1.11,4.22,872.6,10.0
2020,Barley,3.76,7.98,1558.2,27.8
2023,Corn,6.68,8.78,1141.4,18.9
2024,Rice,1.49,3.7,1163.8,16.4
2024,Soybean,2.14,4.68,1474.0,10.3
2020,Corn,4.67,3.99,1904.4,23.5
2023,Barley,0.87,5.44,596.0,31.3
2020,Soybean,2.25,6.15,1737.1,33.9
2022,Barley,3.05,8.24,938.6,24.1
2021,Soybean,2.18,7.56,1165.9,22.9
2022,Rice,1.92,7.35,532.9,12.1
2022,Corn,2.79,5.47,951.6,23.7
2024,Soybean,2.78,8.89,1253.9,19.5
2022,Wheat,1.3,6.3,584.3,25.2
2023,Wheat,3.16,9.85,1236.6,19.7
2022,Soybean,3.7,7.44,1890.7,16.0
2023,Soybean,0.7,3.88,658.1,12.4
2020,Soybean,2.64,7.73,1646.7,17.9
2024,Wheat,1.96,5.28,1114.5,12.4
2023,Wheat,3.65,7.8,1482.8,14.4
2022,Soybean,0.94,3.49,890.4,34.7
2024,Barley,1.11,4.22,739.2,21.1
2024,Barley,2.23,8.99,740.7,23.3
2023,Rice,1.33,4.59,605.7,31.8
2023,Corn,4.39,8.86,778.5,34.9
2021,Barley,2.12,4.95,1496.3,24.6
2021,Wheat,5.2,7.5,1822.5,30.3
2024,Barley,3.61,7.86,1721.2,18.2
2021,Rice,4.16,6.59,1527.7,17.6
2022,Rice,1.04,5.14,665.6,20.1
2020,Corn,2.78,4.49,933.8,26.8
2024,Barley,1.07,3.23,964.7,27.1
2020,Wheat,1.84,5.13,874.9,17.9
2021,Wheat,2.91,7.57,1272.5,13.3
2023,Soybean,2.95,9.57,1303.3,25.8
2024,Wheat,3.99,9.1,1035.3,13.2
2021,Corn,4.88,8.36,1030.7,24.5
2022,Corn,7.73,8.52,1742.8,27.3
2024,Wheat,5.48,7.65,1683.9,27.5
2024,Wheat,1.15,4.82,961.7,28.8
2023,Soybean,4.62,9.35,1870.7,31.8
2024,Wheat,4.44,7.7,1929.2,22.5
2023,Soybean,2.01,6.92,990.1,28.3
2021,Soybean,1.09,3.78,1031.6,25.5
2022,Wheat,2.57,6.13,1258.5,14.7
2022,Rice,4.37,6.22,1911.7,10.6
2024,Rice,6.72,9.05,1814.5,17.1
2024,Soybean,1.19,6.83,653.9,21.1
2021,Wheat,2.03,5.66,1089.1,25.4
2023,Rice,6.35,9.84,1330.1,31.2
2022,Wheat,1.66,3.78,1254.7,14.9
2023,Wheat,1.43,5.96,790.8,13.1
2021,Wheat,1.8,3.29,1788.2,34.1
2022,Barley,3.7,8.18,1515.4,12.7
2022,Wheat,5.36,9.43,1756.9,22.0
2020,Barley,2.37,4.96,1788.1,24.6
2021,Soybean,2.99,9.01,1622.5,23.5
2021,Rice,2.43,5.05,1158.8,12.2
2020,Rice,4.07,9.38,1415.8,11.4
2023,Rice,1.87,8.28,740.5,12.6
2020,Rice,5.16,8.63,1510.5,24.6
2021,Rice,1.07,3.13,768.9,23.6
2023,Rice,5.17,9.74,1540.9,15.8
2022,Rice,2.27,8.09,844.4,25.9
2020,Soybean,0.8,5.13,676.3,30.5
2023,Wheat,1.7,8.81,747.9,11.0
2023,Corn,0.97,4.97,503.0,22.5
2023,Barley,5.52,9.11,1578.1,27.2
2020,Corn,3.15,3.79,1598.6,16.3
2022,Corn,5.43,7.93,1272.4,17.7
2023,Wheat,1.82,6.78,742.0,25.3
2020,Wheat,0.65,3.68,625.3,32.4
2021,Wheat,0.74,4.69,528.7,30.2
2020,Rice,0.67,3.09,748.6,24.6
2020,Soybean,2.61,6.28,1836.3,28.3
2020,Rice,1.85,5.11,862.3,19.1
2023,Soybean,2.41,7.19,1031.4,26.0
2020,Soybean,0.83,5.08,658.0,21.7
2021,Corn,2.17,5.1,833.5,14.7
2023,Corn,5.7,8.2,1278.8,27.5
2021,Soybean,1.46,3.34,1411.6,23.9
2024,Soybean,2.35,9.32,868.0,19.0
2020,Rice,2.12,8.97,586.6,32.8
2023,Rice,2.77,7.67,1086.5,10.5
2023,Corn,4.01,7.15,851.3,17.9
2020,Wheat,2.35,9.25,829.3,11.4
2022,Soybean,2.37,4.3,1939.8,29.2
2022,Rice,1.5,3.55,1424.5,27.6
2021,Corn,3.85,4.68,1335.3,18.3
2020,Rice,3.66,8.56,1123.7,26.9
2020,Soybean,1.08,3.24,1143.4,19.9
2024,Soybean,2.06,7.08,1311.4,28.9
2022,Barley,5.74,9.97,1544.6,21.4
2022,Wheat,4.37,8.99,1553.2,20.3
2020,Barley,1.42,6.65,757.5,33.4
2021,Corn,2.44,3.45,1250.2,16.3
2020,Rice,5.02,8.82,1117.9,13.0
2021,Corn,7.99,7.19,1805.8,24.6
2022,Soybean,1.45,3.8,1447.1,34.2
2024,Barley,1.84,3.66,1298.8,19.4
2023,Barley,2.29,9.37,673.1,11.6
2022,Barley,3.75,7.68,1408.5,18.5
2021,Corn,3.17,8.81,675.8,22.6
2020,Soybean,2.17,9.15,1005.8,14.0
2022,Rice,2.14,7.0,714.3,26.5
2024,Rice,5.08,6.62,1538.1,34.9
2021,Corn,2.07,6.01,809.4,21.3
2020,Barley,2.04,5.22,1087.8,18.9
2023,Wheat,3.12,6.04,1843.5,20.0
2021,Corn,3.86,8.42,806.5,12.9
2020,Corn,4.18,7.21,1261.7,32.1
2023,Soybean,3.01,9.25,1128.9,20.4
2020,Rice,1.35,6.1,527.2,19.7
2023,Corn,7.6,7.25,1689.1,26.5
2023,Corn,2.69,7.42,603.6,21.1
2023,Barley,3.23,7.14,1211.4,26.2
2020,Barley,3.15,7.92,1341.0,11.5
2023,Wheat,2.27,4.66,1442.6,30.3
2021,Soybean,2.32,6.59,1532.9,33.5
2024,Wheat,1.0,3.73,879.9,26.2
2024,Barley,0.79,5.69,515.0,33.9
2023,Rice,3.24,6.41,1585.2,13.8
2024,Barley,2.94,7.57,1303.5,21.9
2024,Soybean,3.85,9.65,1754.2,25.0
2023,Barley,3.88,7.2,1732.1,24.5
2023,Soybean,3.62,8.21,1765.0,20.0
2021,Soybean,2.23,6.54,1227.6,18.5
2022,Soybean,1.57,7.44,1000.4,13.2
2020,Soybean,1.93,3.5,1687.3,19.8
2023,Soybean,1.43,4.78,1176.9,14.1
2023,Rice,1.77,5.53,775.2,28.4
2024,Wheat,3.62,6.31,1782.5,15.2
2021,Corn,3.35,3.32,1823.8,11.5
2024,Wheat,1.81,3.98,1199.5,23.8
2023,Soybean,0.89,4.94,613.5,24.9
2023,Rice,4.37,9.8,1081.7,31.8
2024,Barley,3.55,5.32,1705.3,24.4
2023,Rice,4.03,6.37,1852.7,18.6
2022,Soybean,0.87,4.37,805.2,30.1
2020,Rice,1.55,7.28,600.5,23.5
2020,Rice,4.61,4.96,1816.0,12.0
2020,Soybean,1.49,4.45,1084.1,24.1
2022,Rice,4.13,6.62,1312.6,32.7
2023,Corn,3.89,3.04,1952.1,19.9
2024,Corn,0.89,3.05,599.8,17.4
2021,Rice,2.22,4.53,1472.5,13.6
2023,Barley,0.73,3.26,611.2,13.8
2022,Soybean,0.85,3.76,1063.2,20.8
2022,Corn,3.88,5.37,1705.7,24.9
2020,Barley,3.09,8.62,1150.2,12.0
2023,Rice,5.25,7.0,1995.8,33.5
2020,Barley,3.45,6.59,1338.6,28.9
2021,Wheat,1.54,5.05,981.7,24.7
2020,Corn,3.4,9.52,830.2,30.7
2021,Rice,2.23,5.78,1025.8,12.0
2022,Soybean,0.83,3.61,1058.8,21.9
2020,Rice,1.63,7.32,603.1,25.8
2020,Soybean,1.02,3.8,1054.4,30.7
2024,Rice,2.0,5.42,1196.4,29.6
2022,Barley,2.8,6.55,1584.1,16.9
2024,Barley,4.68,9.12,1485.1,33.5
2021,Barley,2.7,6.45,1563.1,13.1
2021,Wheat,1.45,7.92,512.5,31.9
2022,Soybean,1.78,9.95,826.5,34.3
2021,Barley,1.84,3.92,1492.5,14.4
2022,Wheat,2.14,4.92,1226.0,28.1
2021,Soybean,0.77,5.76,508.0,11.0
2023,Rice,2.97,5.95,1706.7,20.1
2020,Wheat,2.93,5.88,1659.2,22.9
2023,Corn,8.14,9.35,1322.6,24.5
2022,Wheat,1.32,8.0,599.7,33.4
2022,Wheat,2.92,7.26,1649.8,26.8
2023,Soybean,1.54,5.17,1375.6,22.0
2020,Rice,5.97,8.77,1672.9,30.2
2020,Corn,7.35,9.69,1627.6,33.8
2024,Barley,4.39,8.75,1704.5,10.6
2021,Barley,1.49,3.01,1277.0,34.6
2024,Wheat,2.13,7.45,710.5,12.2
2020,Soybean,1.64,3.36,1506.7,30.4
2023,Soybean,1.85,4.8,1430.7,17.0
2021,Barley,1.5,3.42,1613.4,13.3
2023,Corn,3.37,7.23,754.8,21.0
2024,Rice,2.06,7.81,792.5,26.1
2022,Corn,4.28,3.8,1835.6,19.5
2023,Rice,3.78,5.69,1625.0,11.4
2024,Barley,3.68,6.19,1862.3,25.0
2024,Rice,3.88,5.58,1638.1,32.6
2024,Soybean,1.15,3.85,1395.7,19.6
2022,Wheat,3.52,5.93,1481.2,15.4
2022,Wheat,5.32,8.26,1833.7,21.1
2022,Barley,1.56,3.5,1368.2,11.2
2021,Soybean,1.67,3.56,1448.6,30.5
2022,Corn,1.77,5.48,734.7,30.7
2022,Soybean,3.84,9.59,1210.9,24.7
2022,Wheat,3.92,7.68,1574.6,18.8
2023,Wheat,2.69,7.75,906.4,30.0
2022,Soybean,0.92,5.53,803.4,23.9
2021,Soybean,1.91,7.16,970.7,30.6
2024,Wheat,1.07,3.07,862.3,25.8
2023,Corn,2.81,7.45,822.4,29.6
2020,Barley,4.07,9.39,1137.3,25.0
2022,Barley,4.88,7.29,1861.8,20.4
2024,Soybean,3.25,9.12,1260.6,33.9
2024,Barley,1.91,8.07,781.9,23.5
2023,Wheat,0.92,3.84,615.5,25.1
2020,Wheat,4.24,9.32,1544.2,15.5
2021,Soybean,0.76,3.47,1074.2,25.6
2024,Soybean,2.64,6.74,1732.7,24.3
2024,Soybean,1.21,3.99,1489.3,14.6
2024,Corn,3.2,3.08,1694.4,11.5
2024,Barley,1.84,5.95,907.9,25.1
2023,Soybean,1.83,5.07,1538.5,29.1
2020,Rice,1.85,6.4,896.1,23.1
2024,Rice,4.76,7.04,1908.6,15.7
2021,Wheat,1.78,3.31,1454.6,26.7
2021,Barley,1.1,3.86,986.8,12.0
2022,Soybean,1.59,6.91,904.3,21.0
2024,Rice,1.86,5.4,786.4,14.1
2024,Barley,4.81,8.1,1542.0,14.6
2024,Wheat,2.05,7.57,828.1,15.1
2024,Corn,6.56,8.92,1393.0,19.7
2024,Barley,2.49,7.85,897.0,11.3
2021,Barley,3.1,6.01,1493.0,19.9
2020,Corn,5.71,7.71,1722.4,22.8
2020,Barley,3.18,4.93,1667.0,22.1
2022,Wheat,2.73,5.14,1641.3,19.6
2021,Wheat,1.93,8.52,781.6,31.0
2024,Corn,1.77,6.12,632.6,13.6
2020,Soybean,4.19,8.59,1548.4,22.6
2023,Rice,4.11,8.76,1052.5,11.6
2023,Soybean,2.75,9.0,1148.5,11.8
2023,Barley,1.96,9.42,546.7,24.3
2024,Rice,2.11,6.02,889.4,24.2
2024,Corn,1.44,5.23,550.5,32.0
2022,Corn,8.4,7.08,1818.8,23.9
2022,Rice,1.57,5.6,865.1,34.0
2022,Wheat,3.85,7.21,1336.0,11.2
2023,Rice,1.99,7.94,558.5,12.5
2024,Barley,3.84,7.82,1500.3,11.1
2023,Wheat,1.96,5.62,984.5,14.6
2022,Corn,3.92,4.17,1846.9,23.5
2024,Rice,3.71,6.01,1832.2,26.1
2021,Soybean,1.06,4.0,987.9,11.1
2020,Soybean,4.26,9.23,1851.4,33.6
2020,Barley,3.14,5.42,1994.2,31.1
2022,Soybean,1.49,4.08,1738.1,17.4
2023,Rice,1.69,3.18,1767.3,11.9
2021,Rice,2.1,7.52,873.5,14.2
2024,Soybean,2.4,7.46,1365.1,13.2
2023,Rice,1.07,5.38,600.9,13.1
2022,Barley,0.78,3.5,642.4,23.0
2023,Wheat,3.85,5.87,1998.3,16.1
2022,Barley,1.71,5.18,990.0,19.0
2020,Barley,4.46,7.74,1622.3,34.7
2020,Rice,6.16,7.24,1710.0,27.1
2023,Wheat,4.03,5.55,1787.0,33.7
2021,Rice,4.45,4.53,1996.4,13.6
2024,Corn,3.69,9.92,862.2,19.6
2022,Rice,1.31,6.18,560.5,23.9
2024,Rice,3.72,7.82,1116.8,11.9
2020,Rice,1.13,3.98,695.1,10.1
2021,Wheat,0.89,6.4,533.6,26.8
2021,Rice,1.71,3.19,1040.6,26.0
2024,Wheat,3.05,6.54,1675.6,20.3
2020,Soybean,3.99,9.75,1349.3,22.2
2024,Corn,2.5,5.69,969.2,20.4
2023,Wheat,1.53,3.27,1481.5,10.6
2021,Soybean,0.85,3.22,848.0,18.4
2021,Wheat,1.08,5.72,521.6,14.4
2023,Wheat,1.73,4.12,1646.5,12.5
2020,Corn,2.25,3.16,1435.6,33.9
2021,Barley,4.51,8.29,1643.5,25.0
2022,Barley,1.28,6.21,558.4,28.2
2022,Wheat,2.17,5.02,1755.7,17.9
2020,Rice,5.87,9.3,1429.3,19.8
2023,Soybean,1.7,3.81,1345.1,15.9
2024,Rice,6.89,9.69,1436.9,12.4
2020,Rice,3.25,5.2,1796.6,14.5
2024,Wheat,4.27,9.22,1380.4,29.9
2020,Wheat,4.09,7.22,1371.4,26.9
2022,Wheat,7.07,8.79,1986.0,23.7
2023,Wheat,5.2,9.89,1635.1,21.9
2022,Barley,1.61,5.02,1163.4,33.1
2023,Wheat,5.28,9.73,1561.1,11.8
2024,Barley,2.12,5.73,1083.8,17.0
2020,Barley,1.71,5.7,843.3,18.7
2021,Wheat,1.79,5.38,1395.3,29.6
2021,Corn,7.04,6.79,1892.3,34.8
2023,Soybean,2.27,4.08,1893.7,16.0
2023,Rice,2.16,6.88,1012.9,31.9
2022,Barley,3.01,6.79,1291.5,30.8
2021,Soybean,2.18,8.33,817.5,15.6
2022,Corn,9.87,8.84,1993.4,20.0
2024,Rice,6.24,6.08,1971.7,20.2
2021,Rice,2.31,5.12,1474.3,34.5
2024,Barley,2.87,4.82,1706.6,14.5
2020,Wheat,2.71,4.36,1572.7,30.0
2022,Corn,2.33,3.4,1389.7,18.4
2023,Barley,1.21,5.4,580.0,28.3
2021,Corn,2.97,4.89,1182.1,20.5
2022,Wheat,6.13,9.76,1512.2,24.5
2023,Wheat,2.98,6.9,1516.3,30.8
2020,Barley,2.19,5.43,1059.7,30.1
2021,Wheat,4.78,7.06,1912.5,31.7
2024,Soybean,0.82,3.97,751.0,11.5
2020,Rice,2.3,6.11,1250.5,27.3
2023,Barley,4.11,7.38,1536.3,13.5
2021,Corn,5.92,6.42,1545.7,20.4
2021,Soybean,2.09,5.81,1473.0,23.7
2020,Barley,2.84,9.96,912.9,20.1
2021,Wheat,2.21,9.16,734.3,23.0
2023,Wheat,2.77,7.36,1453.9,34.9
2020,Wheat,3.14,6.99,1399.0,13.4
2024,Wheat,1.88,7.34,769.0,26.9
2020,Corn,2.76,4.41,1557.7,19.9
2020,Soybean,2.15,5.77,1182.8,13.3
2024,Rice,2.01,3.28,1501.6,14.0
2023,Corn,5.34,6.33,1756.1,33.7
2022,Corn,3.01,6.8,754.6,32.0
2022,Rice,0.82,4.59,528.7,32.7
2024,Rice,6.42,9.75,1668.7,34.8
2023,Wheat,5.56,9.37,1414.5,15.2
2021,Corn,8.15,8.06,1549.5,18.9
2024,Barley,4.38,6.73,1757.2,26.7
2022,Rice,6.29,9.09,1704.2,22.1
2023,Rice,2.41,3.91,1941.4,20.5
2020,Soybean,3.36,8.53,1303.9,18.9
2023,Barley,1.48,3.87,1232.7,24.8
2023,Barley,3.75,8.56,1102.8,24.4
2022,Rice,1.55,4.93,730.5,14.0
2022,Wheat,4.62,9.14,1358.9,21.8
2021,Soybean,2.67,9.61,915.5,23.8
2021,Barley,2.85,4.04,1882.0,24.3
2024,Rice,3.92,6.24,1374.8,15.3
2020,Barley,5.46,9.87,1389.3,28.6
2021,Soybean,1.69,6.38,1032.4,10.6
2022,Soybean,1.31,9.04,578.0,18.9
2023,Corn,1.76,7.12,547.6,29.5
2024,Rice,3.01,5.63,1135.0,24.1
2021,Soybean,0.69,5.0,626.8,16.5
2023,Corn,3.11,4.42,1410.3,27.4
2023,Corn,8.14,8.33,1821.5,24.2
2021,Barley,3.62,5.71,1824.4,29.9
2020,Barley,3.62,6.58,1488.6,28.4
2020,Corn,3.24,6.45,816.8,25.3
2024,Barley,3.42,7.04,1794.5,22.2
2020,Soybean,3.71,9.06,1829.1,13.3
2024,Wheat,2.71,9.87,795.0,16.5
2022,Soybean,2.77,5.85,1606.1,20.5
2021,Corn,5.22,8.79,929.8,25.0
2023,Corn,5.8,8.35,1704.0,22.8
2024,Soybean,3.55,7.01,1995.9,17.2
2020,Barley,1.89,9.69,545.0,10.2
2024,Barley,2.24,4.4,1846.0,22.4
2024,Corn,2.56,3.76,1433.9,17.1
2020,Rice,5.56,8.98,1960.1,28.4
2020,Barley,2.8,6.07,1197.5,10.6
2021,Soybean,3.29,8.93,1771.1,24.6
2023,Barley,1.54,9.25,593.6,33.5
2021,Soybean,1.0,3.44,1002.9,14.4
2021,Corn,3.54,9.18,600.5,21.8
2020,Barley,3.61,6.14,1963.0,12.3
2020,Soybean,2.55,6.57,1725.5,25.6
2023,Corn,6.71,7.39,1778.8,23.8
2024,Rice,8.65,9.48,1906.9,20.2
2021,Soybean,0.52,3.13,627.7,23.0
2023,Rice,3.12,6.34,1078.4,32.4
2021,Rice,1.44,7.81,606.6,14.9
2024,Wheat,1.68,8.06,816.2,10.6
2021,Barley,2.24,7.85,844.0,31.5
2022,Soybean,1.5,3.94,1203.7,24.4
2023,Rice,1.42,5.1,902.8,32.3
2020,Wheat,1.2,5.51,651.5,24.9
2021,Corn,2.96,8.63,751.2,30.3
2023,Soybean,1.09,4.95,720.9,20.7
2023,Rice,4.02,4.47,1959.6,28.7
2021,Barley,4.68,9.7,1638.9,32.8
2020,Wheat,1.81,3.06,1951.6,24.3
2020,Rice,4.37,9.98,1159.6,14.5
2021,Barley,2.69,7.74,917.6,16.7
2023,Rice,4.48,8.8,1697.4,15.0
2020,Soybean,1.2,5.06,989.4,16.2
2021,Soybean,0.91,3.1,949.1,17.7
2021,Soybean,2.14,8.17,848.8,23.9
2021,Wheat,1.69,8.84,694.5,24.7
2023,Soybean,1.58,8.18,884.7,20.7
2020,Barley,1.33,4.0,1033.0,25.4
2023,Rice,4.46,8.27,1511.0,12.0
2022,Corn,3.14,8.38,593.8,12.2
2020,Barley,1.85,7.61,815.8,14.3
2023,Barley,4.7,8.36,1713.5,23.0
2020,Soybean,1.49,8.92,720.4,15.3
2022,Wheat,2.19,7.3,1014.0,17.1
2024,Rice,2.65,3.62,1797.0,20.0
2021,Wheat,1.22,6.41,732.4,30.3
2023,Rice,0.9,3.54,624.1,10.3
2022,Rice,3.67,5.85,1226.8,26.2
2022,Wheat,1.79,5.85,953.6,26.7
2020,Barley,1.38,3.46,1345.1,30.0
2020,Rice,4.23,5.44,1705.7,33.3
2021,Wheat,0.83,3.78,705.7,10.5
2020,Rice,4.29,8.66,1371.0,13.8
2023,Corn,5.5,9.63,1258.3,32.2
2023,Barley,0.92,3.51,716.1,21.5
2023,Soybean,4.49,9.69,1436.0,24.1
2024,Rice,2.25,6.66,910.5,26.6
2023,Corn,3.86,5.1,1231.8,27.0
2020,Soybean,0.51,3.54,623.4,33.3
2020,Soybean,1.48,6.5,1189.4,34.9
2023,Rice,3.06,8.56,959.7,28.0
2022,Wheat,3.75,7.95,1733.6,17.2
2022,Rice,0.66,3.35,585.5,32.0
2022,Corn,2.03,3.51,1127.9,11.2
2021,Soybean,1.84,5.82,1187.6,15.8
2024,Rice,3.49,5.07,1587.5,32.4
2023,Wheat,2.14,4.63,1361.4,16.4
2021,Rice,2.26,4.97,1500.8,15.5
2022,Barley,4.52,8.62,1665.6,13.5
2023,Wheat,6.8,9.5,1793.3,31.5
2021,Corn,2.46,5.84,970.8,22.5
2020,Soybean,2.58,9.34,1307.0,26.9
2022,Rice,4.74,5.25,1760.2,16.0
2021,Wheat,4.52,6.34,1984.2,29.0
2020,Barley,3.01,4.58,1834.3,29.0
2022,Wheat,2.69,7.48,1057.2,17.8
2024,Barley,2.15,9.85,792.7,20.3
2022,Corn,4.25,7.22,1234.1,15.2
